Breed,Category,Weight_kg,Age_months,Milk_L_per_day,BCS,Activity_Level,Health_Status,DMI_kg_per_day,CrudeProtein_pct_DM,TDN_pct_DM,CrudeProtein_kg_per_day,TDN_kg_per_day,Calcium_g_per_day,Phosphorus_g_per_day,Water_L_per_day,Special_Care_Notes
Amritmahal,Draft/Working Bullock,352.5,38,0.0,2.9,Medium,Lumpy Skin Disease,6.77,14.0,65.0,0.95,4.4,23.3,14.8,28.2,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Amritmahal,Draft/Working Bullock,439.2,118,0.0,2.6,High,Normal,11.38,11.5,72.4,1.31,8.24,26.4,17.6,40.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Amritmahal,Growing/Heifer,194.7,14,0.0,2.3,Medium,Normal,5.47,16.0,68.0,0.88,3.72,11.7,7.8,15.6,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Amritmahal,Growing/Heifer,252.4,21,0.0,2.0,High,FMD,5.51,17.0,71.0,0.94,3.91,15.9,10.6,25.2,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Amritmahal,Dairy Lactating,365.5,65,12.5,2.7,Low,Normal,13.98,17.8,71.9,2.49,10.05,65.7,42.1,66.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Amritmahal,Dairy Lactating,376.5,107,6.0,2.9,Low,Ringworm,11.82,17.9,70.9,2.12,8.38,50.1,31.1,48.1,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Amritmahal,Calf,59.7,5,0.0,3.3,Low,Normal,1.7,20.0,72.0,0.34,1.22,3.6,2.4,4.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Amritmahal,Calf,81.8,1,0.0,3.5,Medium,Ringworm,2.33,20.5,72.0,0.48,1.68,5.6,3.6,6.5,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Amritmahal,Dairy Dry,395.3,65,0.0,3.8,Low,Normal,8.26,12.5,60.0,1.03,4.96,23.7,15.8,31.6,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Amritmahal,Draft/Working Bullock,420.2,58,0.0,3.5,Low,FMD,6.9,12.5,62.7,0.86,4.33,26.5,17.6,33.6,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Amritmahal,Breeding Bull,400.4,117,0.0,3.4,High,FMD,7.16,14.0,65.0,1.0,4.65,25.2,16.8,37.0,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Amritmahal,Growing/Heifer,293.8,17,0.0,2.3,Low,Normal,7.84,16.0,68.0,1.25,5.33,17.6,11.8,23.5,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Amritmahal,Dairy Lactating,371.1,38,12.6,3.8,Medium,FMD,10.74,18.8,74.9,2.02,8.04,69.7,44.7,67.5,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Amritmahal,Dairy Dry,395.9,112,0.0,2.9,Low,FMD,5.96,13.5,63.0,0.8,3.75,24.9,16.6,31.7,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Amritmahal,Dairy Lactating,392.8,104,10.5,2.7,High,Normal,16.13,17.6,71.6,2.84,11.55,60.3,38.8,67.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Amritmahal,Dairy Dry,425.6,41,0.0,3.8,Low,Normal,8.9,12.5,60.0,1.11,5.34,25.5,17.0,34.0,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Amritmahal,Draft/Working Bullock,409.6,78,0.0,3.1,High,Normal,10.62,11.5,72.4,1.22,7.69,24.6,16.4,37.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Amritmahal,Dairy Lactating,436.1,100,6.6,3.4,Medium,Normal,15.06,17.4,71.0,2.62,10.69,49.3,32.0,54.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Amritmahal,Dairy Lactating,384.0,112,8.0,2.3,Low,Lumpy Skin Disease,11.43,21.0,76.2,2.4,8.71,56.1,34.6,54.7,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Amritmahal,Draft/Working Bullock,447.2,57,0.0,3.6,High,Normal,11.59,11.5,72.4,1.33,8.39,26.8,17.9,40.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Amritmahal,Draft/Working Bullock,434.2,62,0.0,3.3,Medium,Normal,10.42,11.5,63.0,1.2,6.56,26.1,17.4,34.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Amritmahal,Growing/Heifer,323.5,24,0.0,3.4,Medium,Normal,8.41,15.0,65.0,1.26,5.47,19.4,12.9,25.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Amritmahal,Calf,94.5,3,0.0,2.5,Low,Ringworm,2.56,20.5,72.0,0.52,1.84,6.5,4.2,7.6,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Amritmahal,Calf,86.1,1,0.0,3.5,Low,Normal,2.45,20.0,72.0,0.49,1.76,5.2,3.4,6.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Ayrshire,Draft/Working Bullock,592.0,84,0.0,2.7,High,FMD,11.05,12.5,75.9,1.38,8.39,37.3,24.9,52.4,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Ayrshire,Growing/Heifer,360.9,24,0.0,3.1,Medium,FMD,6.76,16.0,68.0,1.08,4.6,22.7,15.2,28.9,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Ayrshire,Dairy Lactating,584.9,86,14.1,2.5,Low,Normal,20.69,17.8,72.1,3.68,14.92,84.4,54.4,89.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Ayrshire,Breeding Bull,538.8,53,0.0,4.1,Low,Normal,10.95,12.5,60.0,1.37,6.57,32.3,21.6,43.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Ayrshire,Calf,56.5,3,0.0,3.0,Low,Normal,1.61,20.0,72.0,0.32,1.16,3.4,2.3,4.5,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Ayrshire,Breeding Bull,582.2,97,0.0,4.2,Low,Normal,11.83,12.5,60.0,1.48,7.1,34.9,23.3,46.6,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Ayrshire,Dairy Dry,513.5,75,0.0,3.2,Medium,FMD,8.13,13.5,63.0,1.1,5.12,32.4,21.6,41.1,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Ayrshire,Draft/Working Bullock,459.1,36,0.0,3.6,High,Normal,11.9,11.5,72.4,1.37,8.62,27.5,18.4,41.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Ayrshire,Growing/Heifer,265.9,13,0.0,2.3,Medium,Ringworm,7.09,16.5,68.0,1.17,4.82,18.3,11.7,21.3,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Ayrshire,Calf,115.7,4,0.0,2.1,Medium,Normal,3.75,21.0,75.0,0.79,2.81,6.9,4.6,9.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Ayrshire,Calf,124.2,1,0.0,2.2,Low,Normal,3.82,21.0,75.0,0.8,2.87,7.5,5.0,9.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
